April-07-2020-15:30:25
posX,posY,posZ,secondsElapsed
-0.188482,0.0811719,-0.742407,0.001
-0.188367,0.0811961,-0.74213,0.101
-0.188396,0.0811929,-0.742079,0.201
-0.188185,0.0811517,-0.741947,0.301
-0.18809,0.0812808,-0.741597,0.401
-0.187967,0.0812393,-0.741499,0.501
-0.188018,0.0812323,-0.741525,0.601
-0.188091,0.0811232,-0.741604,0.701
-0.187973,0.0811705,-0.741504,0.801
-0.187854,0.0811445,-0.741322,0.901
-0.187667,0.0811797,-0.740951,1.001
-0.187718,0.0812248,-0.740942,1.101
-0.187726,0.0812104,-0.741215,1.201
-0.187814,0.0812311,-0.741154,1.301
-0.187957,0.0812793,-0.741306,1.401
-0.188053,0.0811955,-0.741583,1.501
-0.187856,0.0811659,-0.741416,1.601
-0.187951,0.081208,-0.741503,1.701
-0.187912,0.0812634,-0.741462,1.801
-0.188206,0.0809982,-0.741925,1.901
-0.188218,0.0811247,-0.742047,2.001
-0.188285,0.0811893,-0.741919,2.101
-0.1884,0.0811927,-0.742133,2.201
-0.188317,0.0812416,-0.742155,2.301
-0.188376,0.0811465,-0.742014,2.401
-0.188262,0.0812167,-0.742031,2.501
-0.188045,0.0811837,-0.741813,2.601
-0.188152,0.081234,-0.741715,2.701
-0.188311,0.0811622,-0.741903,2.801
-0.188087,0.0812812,-0.741647,2.901
-0.188083,0.0811928,-0.741488,3.001
-0.187977,0.0811666,-0.741526,3.101
-0.188007,0.0809356,-0.74159,3.201
-0.1878,0.081202,-0.741187,3.301
-0.188008,0.0811397,-0.741568,3.401
-0.187992,0.0811898,-0.741559,3.501
-0.18794,0.0811453,-0.741403,3.601
-0.18816,0.0811595,-0.741622,3.701
-0.188201,0.0811933,-0.741687,3.801
-0.18818,0.0813701,-0.741731,3.901
-0.188165,0.0812933,-0.741705,4.001
-0.187997,0.0812135,-0.741511,4.101
-0.188082,0.0812816,-0.741573,4.201
-0.188219,0.0812416,-0.741934,4.301
-0.188121,0.0811878,-0.741932,4.401
-0.188154,0.0811823,-0.74192,4.501
-0.18805,0.0811491,-0.741434,4.601
-0.188024,0.0812216,-0.741474,4.701
-0.187942,0.0812234,-0.741434,4.801
-0.187979,0.0812479,-0.741349,4.901
-0.188094,0.081236,-0.741766,5.001
-0.188116,0.0812076,-0.741643,5.101
-0.188191,0.0811641,-0.741639,5.201
-0.188239,0.0811811,-0.741933,5.301
-0.188238,0.0811433,-0.741909,5.401
-0.188232,0.0812347,-0.741663,5.501
-0.188185,0.0812388,-0.741802,5.601
-0.188158,0.0812056,-0.741691,5.701
-0.188246,0.0812438,-0.741867,5.801
-0.188146,0.0812531,-0.74176,5.901
-0.188134,0.0812541,-0.741557,6.001
-0.18818,0.0811936,-0.741712,6.101
-0.188118,0.0811142,-0.741762,6.201
-0.188532,0.0811835,-0.74221,6.301
-0.188706,0.0810952,-0.742406,6.401
-0.188505,0.0811582,-0.742248,6.501
-0.18841,0.0810569,-0.742346,6.601
-0.188294,0.0811893,-0.741962,6.701
-0.188229,0.0812098,-0.742047,6.801
-0.188089,0.0812949,-0.741704,6.901
-0.188138,0.0812889,-0.741761,7.001
-0.188147,0.0812166,-0.741865,7.101
-0.188232,0.0811967,-0.741976,7.201
-0.188186,0.081189,-0.741601,7.301
-0.188328,0.0811528,-0.742186,7.401
-0.188372,0.0810854,-0.742257,7.501
-0.188252,0.0811517,-0.742118,7.601
-0.188045,0.0813181,-0.741727,7.701
-0.188233,0.0812275,-0.741875,7.801
-0.188389,0.0811788,-0.742232,7.901
-0.188185,0.0812177,-0.741921,8.001
-0.188078,0.0813076,-0.741677,8.101
-0.188122,0.0811794,-0.741608,8.201
-0.188292,0.0811924,-0.741937,8.301
-0.188461,0.0812359,-0.742357,8.401
-0.188463,0.081259,-0.742379,8.501
-0.18863,0.0812403,-0.742511,8.601
-0.18862,0.0813117,-0.742493,8.701
-0.188471,0.0811365,-0.742222,8.801
-0.188405,0.0812585,-0.742233,8.901
-0.18838,0.0812399,-0.742104,9.001
-0.188018,0.0812779,-0.74158,9.101
-0.187931,0.0812797,-0.741232,9.201
-0.187967,0.0812349,-0.741162,9.301
-0.187936,0.081196,-0.741338,9.401
-0.188145,0.0811813,-0.741774,9.501
-0.188102,0.0811583,-0.741811,9.601
-0.188264,0.0811542,-0.741889,9.701
-0.188374,0.081247,-0.742006,9.801
-0.188363,0.0811827,-0.742122,9.901
